Column1,Column2,Column3
用了一段时间信号不好通话中出现了自动挂断的情况对方听不到自己的说话挂掉重新拨打才行拍照效果不好感觉模糊其他还没发现什么问题不打游戏电池还行,1,一段时间 信号 不好 通话 中 自动 挂断 情况 听 不到 说话 挂掉 重新 拨打 才行 拍照 效果 不好 感觉 模糊 还 没 发现 问题 打游戏 电池 还 行 
用了几天无法导航关机重启之后会恢复几天之后又无法导航换了两个手机都一样的问题建议不要买这款机,1,几天 无法 导航 关机 重启 恢复 几天 无法 导航 换 两个 手机 都 问题 建议 买 这款机 
充不进电手机质量差刚到没多久就这个样体验极差跟客服沟通了两天客服总扯些有的没的过来总体为质量差服务差,1,充不进 电 手机 质量 差刚 没多久 样 体验 极差 客服 沟通 两天 客服 总扯些 没 过来 总体 质量 差 服务 差 
支付扫码不是很灵敏拍照不清晰摄像头好像有点问题指纹付款也是很慢自己用了几天的想法希望大家看看吧,1,支付 扫码 灵敏 拍照 清晰 摄像头 好像 有点 问题 指纹 付款 很慢 几天 想法 希望 看看 
该款手机为超级快充但是自购买手机后充电器使用了一个多星期就无法持续正常充电总是间接性断电电量无法增长,1,该款 手机 超级 快充 购买 手机 充电器 一个多 星期 无法 持续 正常 充电 间接性 断电 电量 无法 增长 
发热很厉害这个手机我之前买的那台不会这样,1,发热 厉害 手机 买 那台 
双十一直播间说点赞王可以送耳机没收到送耳机也没送到下单前名送耳机也没收到客户最后回复要截图给客服才有太多借口下次直接去实体店买,1,双十 直播间 说点 赞王 送 耳机 没收 送 耳机 没 送到 下单 前名 送 耳机 没收 客户 最后 回复 截图 客服 太 借口 下次 直接 实体店 买 
拍照效果不是很清晰没有想象中好屏幕音效音质很多杂音不清晰感觉很嗓,1,拍照 效果 清晰 没有 想象 中好 屏幕 音效 音质 杂音 清晰 感觉 嗓 
离开华为的荣耀很垃圾,1,离开 华为 荣耀 垃圾 
放了移动卡一直没有银行客服服务太差一直不回复,1,放 移动 卡 没有 银行 客服 服务 太 差 回复 
刚买来就有杂音很怀疑是二手货,1,买来 杂音 怀疑 二手货 
这机子不怎么样太卡了,1,机子 不怎么样 太卡 
真的京东太垃圾了说送自拍杆而且要好评才可以抽啊还有这样的活动了啊你很失望一直买京东的电器要么你就别搞活动还想让我好评了,1,真的 京东 太 垃圾 说 送 拍杆 好评 抽 活动 失望 买 京东 电器 别搞 活动 还 想 好评 
手机没什么问题说好的送张卡天了还没见到东西找了次刚开始说一个星期后面又说没有没诚信的商家,1,手机 没什么 问题 说好 送 张卡天 还 没 见到 东西 找 次 说 星期 说 没有 没 诚信 商家 
像素太模糊了一点不清楚,1,像素 太 模糊 一点 清楚 
手机定位非常差导航根本无法使用,1,手机 定位 非常 差 导航 根本无法 
垃圾手机超级不好用差评,1,垃圾 手机 超级 不好 差评 
网络特别卡不知道什么原因,1,网络 特别 卡 知道 原因 
不好用特别卡后悔死了,1,不好 特别 卡 后悔 死 
运行速度下载东西太慢了下载游戏信号没问题情况下要二十多分钟,1,运行 速度 下载 东西 太慢 下载 游戏 信号 没 问题 情况 下要 二十多分钟 
玩王者老是掉,1,玩 王者 老是 掉 
想不通为啥就没有耳机买了这么多年的手机了第一次碰到新手机不配耳机的大家注意,1,想不通 为啥 没有 耳机 买 多年 手机 第一次 碰到 新手机 不配 耳机 注意 
拍照效果模糊像旧照片屏幕音效画面仿佛有液晶流动感退货周期长,1,拍照 效果 模糊 旧 照片 屏幕 音效 画面 仿佛 液晶 流动 感 退货 周期长 
没有用得爽,1,没有 用得爽 
现在耳机不是标配了么是不是从小米开了那个头之后都准备把耳机充电器给取消了,1,现在 耳机 标配 是不是 米开 头 都 耳机 充电器 取消 
拍照效果特别垃圾像素很差拍照忽明忽暗客服多次为解决不予处理不会再购买不让退换垃圾,1,拍照 效果 特别 垃圾 像素 很差 拍照 忽明忽暗 客服 解决 不予 购买 不让 退换 垃圾 
那阵子我们的感情出了一些问题可是我也不太清楚问题出在哪里,1,那阵子 感情 问题 太 清楚 问题 
拍照效果没有全景拍摄现在几百元的手机都有这功能介绍上写有这功能,1,拍照 效果 没有 全景 拍摄 现在 几百元 手机 都 功能 介绍 写 功能 
用了几天通话信号差手机信号差关键还老是充不进去电,1,几天 通话 信号 差 手机信号 差 关键 还 老 充 进去 电 
反应慢按电源键大概有三四秒才亮屏然后按电源键锁屏出现蓝屏,1,慢 电源 键 三四秒 亮 屏 电源 键锁屏 蓝屏 
性能不高屏幕使用起来有点卡顿应该是手机配置问题感觉性价比不高,1,性能 不高 屏幕 起来 有点 卡顿 手机 配置 问题 感觉 性价比 不高 
快递挺快包装很好快递员把东西放门外边也没告诉一声快递显示已经签收咋不告诉一声东西丢了咋弄太没有责任心,1,快递 挺快 包装 快递 员 东西 放 门外 没 告诉 一声 快递 显示 签收 告诉 一声 东西 丢 弄 太 没有 责任心 
快递员根本没有联系就把东西随意丢到快递柜之前收到的一部手机外观破烂怀疑是二手的这部根本不敢去取不敢信任京东了,1,快递 员 根本 没有 联系 东西 随意 丢 快递 柜 收到 一部 手机 外观 破烂 怀疑 二手 这部 根本 去取 信任 京东 
屏幕音效屏幕残影很严重严重怀疑电池是坏的充电快掉电更快,1,屏幕 音效 屏幕 残影 怀疑 电池 坏 充电 掉电 
使用过程中软件或者浏览器很多次卡住卡住动不了真的怀疑是二手手机希望商家能跟我联系具体怎么处理,1,过程 中 软件 浏览器 卡住 卡住 动 真的 怀疑 二手手机 希望 商家 联系 
质量是真不行通话断断续续时好时坏不晓得是质量问题还是机器便宜的原因,1,质量 真 不行 通话 断断续续 时好时坏 晓得 质量 问题 机器 便宜 原因 
真是一分价钱一分货打和平精英有卡顿而且画面有抖动其他的用着还行,1,真是 一分 价钱 一分货 和平 精英 有卡顿 画面 抖动 还行 
啥子都好唯一不安逸活动耳机十三号才有我十二号晚上十点过买都不送,1,啥子 都 唯一 安逸 活动 耳机 十三号 十二号 晚上 十点 买 都 送 
用了一段时间了打字真的难受一天会出现十几次点的这里出来那里的情况,1,一段时间 打字 真的 难受 十几次 点 情况 
这是新机器么还有那么多磨损外包装看没有可是里边像旧的啊,1,新 机器 磨损 外包装 看 没有 里边 旧 
还不如手机打电话时信号有问题通话很差信号时断时续的给客服反应不给解决,1,还 手机 打电话 时 信号 问题 通话 很差 信号 时断时续 客服 解决 
开机有密码手机搞了半天格式化急用没办法就这样用了,1,开机 密码 手机 搞了半天 格式化 急用 没 办法 
玩游戏经常容易掉线同一个网络我特意换了一个手机没有出现掉线情况,1,玩游戏 经常 掉线 同一个 网络 特意 换 手机 没有 掉线 情况 
用了没一个星期就开始卡了可能好评都是刷出来的建议不要买,1,没 星期 卡 好评 都 刷 建议 买 
反应慢左上角触屏失灵根本不值这个价年前的产品都比这个强,1,慢 左上角 触屏 失灵 根本 不值 价 年前 产品 都 强 
运行速度真不咋滴给老人用差不多要是玩点小游戏还是不建议,1,运行 速度 真 滴 老人 玩点 小游戏 建议 
外观没有包装膜外观非常脏都是划痕不知道是不是旧的手机盒子装的手机,1,外观 没有 包装 膜 外观 非常 脏 都 划痕 知道 是不是 旧 手机 盒子 装 手机 
手机无法连接,1,手机 无法 连接 
不知道那么高的销量哪里来的同样的下载速度慢一倍以上触屏也不是很灵敏不要买买的后悔,1,知道 高 销量 下载速度 慢 一倍 触屏 灵敏 买买 后悔 
第一次在京东上买手机就出这事一分钱没少给给了个有擦伤的手机荣耀客服无鸟用给不了任何赔偿给别人买的因为急用只能自己吃这亏了,1,第一次 京东 买手机 这事 一分钱 没少 擦伤 手机 荣耀 客服 无鸟用 赔偿 买 急用 只能 吃 亏了 
屏幕分辨率极低谨慎购买,1,屏幕 分辨率 极低 谨慎 购买 
手机卡包装箱太差劲了上当受骗了这次,1,手机卡 包装箱 太 差劲 上当受骗 这次 
手机信号弱手机声音太垃圾了,1,手机信号 弱 手机 声音 太 垃圾 
包装破损严重手机不知道有没有被做手脚,1,包装 破损 手机 知道 有没有 做手脚 
卡得很导航卡着都不动,1,卡得 导航 卡着 都 不动 
差评差评差评手机不怎么好用卡顿又不流畅,1,差评 差评 差评 手机 好用 卡顿 流畅 
严重差评刚买过了天就降价格,1,差评 买 天 降 价格 
破手机买完就降价还不给补差价差评,1,破 手机 买 完 降价 还 补差 价差 评 
就只有发货速度快点其他的都很差手机拿回来开机然后下载了两个软件就发烫问客服问题的时候客服爱理不理的,1,发货 速度 快点 都 差 手机 回来 开机 下载 两个 软件 发烫 问 客服 问题 客服 爱理不理 
京东第一个差评给你因为选的套餐是手机壳贴膜的套餐发来的手机里面不带原装手机壳很明显是发货前拆机取出原手机壳,1,京东 第一个 差评 选 套餐 手机 壳 贴膜 套餐 发来 手机 里面 不带 原装 手机 壳 明显 发货 前 拆机 取出 原 手机 壳 
手机运营特别慢估计是水货中招了劝大家要小心,1,手机 运营 特别 慢 估计 水货 中招 劝 小心 
拍照效果太差了真的老人机买错了,1,拍照 效果 太差 真的 老人 机买错 
差评连不到宽带不要买慢,1,差评 不到 宽带 买慢 
手机真很一般触摸不灵,1,手机 真 触摸 不灵 
还没收到货就给我说送达了绝对差评,1,还 没收 到货 说 送达 绝对 差评 
刚满月就开不了机了真是无语了,1,满月 开 机了 真是 无语 
信号特别错不知道是不是二手货,1,信号 特别 错 知道 是不是 二手货 
一直都在想没用过荣耀手机买一个用用支持下国产好家伙手机买了不到天各种送赠品活动就出来了先是白条免息送耳机指环扣现在又送充电宝我早买的反而什么都没得到品牌和品牌之间竞争也不能委屈了我吧我是消费者啊钱让你们赚了翻脸就不认人了这个差评给荣耀对待消费者的态度,1,都 想 没用过 荣耀 手机 买 支持 国产 好家伙 手机 买 不到 天 送 赠品 活动 先是 白条 免息 送 耳机 指环 扣 现在 送 充电 宝 早 买 都 没 品牌 品牌 之间 竞争 委屈 消费者 钱 赚 翻脸 认人 差评 荣耀 消费者 态度 
网购以来最差的一次购物体验收到手机后迟迟不更新物流信息导致我无法开发票京东客服互相推委迟迟不给我解决问题对京东客服差评,1,网购 最差 购物 体验 收到 手机 迟迟 更新 物流 信息 导致 无法 开发票 京东 客服 推委 迟迟 解决问题 京东 客服 差评 
差劲的很导航卡的厉害,1,差劲 导航 卡 厉害 
手机有质量问题音量小开免提杂音多开免提像个烂手机一样电子厂品还是实体店,1,手机 质量 问题 音量 小开 免提 杂音 多开 免提 烂 手机 电子厂 品 实体店 
一直以为京东的物流不错这次真的失望了送的慢不说放在那几天不送货还是我自己跑十几公里去拿留的快递点联系电话也打不通物流差评东西咋说呢价格双十一的时候比这便宜两百贵了二百块钱,1,京东 物流 不错 这次 真的 失望 送 慢 说 放在 几天 送货 跑 十几公里 留 快递 点 联系电话 不通 物流 差评 东西 说 价格 双十 便宜 两百 贵 二百块 钱 
物流很慢客服忽悠人说好的给京豆又反悔了真不知道谁说的是真的,1,物流 慢 客服 忽悠 说好 京豆 反悔 真不知道 说 真的 
什么垃圾手机遇到问题找客服出来问题等了一天多了竟然没有回复电话,1,垃圾 手机 遇到 问题 找 客服 问题 竟然 没有 回复 电话 
买过就降价就差一天都不跟耳机这样版本的手机都没耳机吗我实体店买的耳机都有,1,买过 降价 差 都 耳机 版本 手机 都 没 耳机 实体店 买 耳机 都 
快递还是一如既往的快手机是真的差新手机反应总是慢半拍的感觉还不去老人机反应快,1,快递 一如既往 手机 真的 差 新手机 慢半拍 感觉 还 老人 机 
待机时间太短了完全不能正常一天使用申请了退货京东站点居然说我少了什么服务手册不给退非常不好的一次购物体验,1,待机时间 太短 正常 申请 退货 京东 站点 说 少 服务 手册 退 非常 不好 购物 体验 
买给家的老人的现在电话说黑屏了开不了机这个怎么处理呀,1,买 家 老人 现在 电话 说 黑屏 开 机 
买了三天就降价价格保护不了会员都是扯淡我用劵是花了钱的混为一谈差评差评差评,1,买 三天 降价 价格 保护 会员 都 扯淡 我用 劵 花 钱 混为一谈 差评 差评 差评 
手机充电需要小时而且在不使用的情况下充电手机和充电器都发热联系客服咨询问题不但没解决还东扯西拉不解决主要问题,1,手机 充电 需要 小时 情况 充电 手机 充电器 都 发热 联系 客服 咨询 问题 没 解决 还 东扯西拉 解决 问题 
京东真垃圾写着送耳机最后没送还让我拿证据刘老板在米国的事有证据赔钱,1,京东 真 垃圾 写 送 耳机 最后 没 送还 让我拿 证据 刘老板 米国 事 证据 赔钱 
差评太容易发热了充电都发热待机时间也不是按标准的吧,1,差评 太 发热 充电 都 发热 待机时间 标准 
运行速度卡的要死网络信号联接网,1,运行 速度 卡 要死 网络 信号 联接 网 
碰到不良了用时有时候屏幕里面会一直闪,1,碰到 不良 时 有时候 屏幕 里面 闪 
老是觉得闪屏白色的时候明显,1,老是 觉得 闪屏 白色 明显 
新买的手机折箱竟然开不了机黑屏啊,1,新买 手机 折箱 竟然 开 机 黑屏 
后置摄像头不行都看不清,1,后置 摄像头 不行 都 看不清 
质量还是有问题要买手机还是去实体店买吧,1,质量 问题 买手机 实体店 买 
通话质量差买了五天手机死机两次,1,通话质量 差买 五天 手机 死机 两次 
手机还好但是直播间说价保现在就降价一百找客服也没回复就这吧大家看着买啊怎么没有不给星的等级,1,手机 还好 直播间 说 价保 现在 降价 一百 找 客服 没 回复 看着 买 没有 星 等级 
耗电很快新手机还卡顿,1,耗电 很快 新手机 还卡顿 
数据线用了不到一个月就不能快充了还老断电,1,数据线 不到 一个月 快充 还 老 断电 
第一天买不送耳机第二天就开始送耳机前后就相差一个小时,1,第一天 买 送 耳机 第二天 送 耳机 相差 小时 
连网经常连不上还会卡顿闪退,1,连网 经常 连不上 还会 卡顿 闪退 
拍照效果色素比较差看上去好像重叠那样,1,拍照 效果 色素 比较 差 看上去 好像 重叠 
这就是色差差别太大惊呆我了,1,色差 差别 太 惊呆 
下单即送耳机不送干嘛要放这几字在页面当不识字啊,1,下单 送 耳机 不送 干嘛 要放 几字 页面 识字 
刚买不到一个月屏幕自动裂开,1,买不到 一个月 屏幕 自动 裂开 
运行速度总失机现在开不了了,1,运行 速度 总失机 现在 开 
手机不错京东配送也不错差评是买的时候活动送耳机结果收到说没有此活动难道以后买东西要先截屏吗,1,手机 不错 京东 配送 不错 差评 买 活动 送 耳机 收到 说 没有 活动 难道 买 东西 先 截屏 
买手机不打招呼送了张卡强行二次营销,1,买手机 打招呼 送 张卡 强行 二次 营销 
屏下指纹不好用解锁几才开得了,1,屏下 指纹 不好 解锁 几才 开得 
这是换了的手机屏幕还是闪烁什么东西,1,换 手机 屏幕 闪烁 东西 
外包装破损拍照屏幕闪烁严重已申请退换货,1,外包装 破损 拍照 屏幕 闪烁 申请 退换货 
不好才买就卡充电发热,1,不好 买 卡 充电 发热 
看着挺好的怎么那么轻呢感觉上当了,1,看着 挺 轻 感觉 上当 
说送耳机没有送去消费者协会投诉惹手机容易发热其他的还行,1,说 送 耳机 没有 送 消费者 协会 投诉 惹 手机 发热 还行 
就这保护膜的质量真不咋的,1,保护膜 质量 真 
买了不到一月就发售后维修,1,买 不到 一月 发售 维修 
一口气买了两台今天收到货发现有耳机赠品昨天下单就没有顿时不香了,1,一口气 买 两台 收到 货 发现 耳机 赠品 昨天 下单 没有 顿时 不香 
我想说你京东自营什么了懒得退别人拆封过的发部退货机过来呵呵,1,想 说 京东 自营 懒得 退 拆封 发部 退货 机 过来 
都不是知道什么钢化膜五楼掉下来没有最多手机暴费,1,都 知道 钢化 膜 五楼 掉下来 没有 最 手机 暴费 
都很好一星是因为隔天就开始送耳机客服全程抱歉,1,都 一星 是因为 隔天 送 耳机 客服 全程 抱歉 
降了又不保价又不提醒,1,降 保价 提醒 
买给别人的说卡想退可是拆了不能退就没退希望华为加油,1,买 说 卡想 退 拆 退 没退 希望 华为 加油 
没有用到一个月手机屏幕就不亮了,1,没有 用到 一个月 手机 屏幕 不亮 
指纹和人脸识别是摆设,1,指纹 人脸识别 摆设 
刚评价就便宜了块有这样的吗,1,评价 便宜 块 
用了一个月就出问题了只给休还要休到十天,1,一个月 问题 休 还要 休 十天 
刚买没多久就便宜了还不能给保价服了天猫都能保价,1,刚买 没多久 便宜 还 保价 服了 天猫 都 保价 
无限重启京东售后不负责,1,无限 重启 京东 售后 负责 
这个胶咱不知道是什么情况,1,胶 知道 情况 
货收到半天都是机器人手机膜也没贴差差差,1,货 收到 半天 都 机器人 手机 膜 没 贴 差 差差 
说好的保价也没有,1,说好 保价 没有 
简配耳机都没有差差差,1,简配 耳机 都 没有 差差 差 
速度还可以屏幕不好有水波纹看着头晕,1,速度 还 屏幕 不好 水波纹 看着 头晕 
才用几天充电就开始发烫了,1,几天 充电 发烫 
外形外观没有配耳机开个耳机孔干嘛的,1,外形 外观 没有 配 耳机 开个 耳机 孔 干嘛 
下单前问了评价送耳机买后就说没有了不守信用下次不会再来了,1,下单 前问 评价 送 耳机 买后 说 没有 不守信用 下次 再来 
昨天买的今天就降价没办法给好评,1,昨天 买 降价 没 办法 好评 
买了一周后出现指纹解锁死机等情况,1,买 一周 指纹 解锁 死机 情况 
通话信号不好视频镜头模糊,1,通话 信号 不好 视频 镜头 模糊 
刚买不到两个月就坏了晕,1,买不到 两个 月 坏 晕 
里面就一部手机钢化膜耳机都没有,1,里面 一部 手机 钢化 膜 耳机 都 没有 
新机就有毛病屏幕中间有条竖线以申请换货,1,新机 毛病 屏幕 有条 竖线 申请 换货 
手机买了第二天就死机无响应,1,手机 买 第二天 死机 无 响应 
机子动过手机上的头层膜都没有了也开封了,1,机子 动过 手机 头层 膜 都 没有 开封 
不满意的就是没有送耳塞前一天买没送第二天就可以送,1,满意 没有 送 耳塞 前一天 买 没 送 第二天 送 
说好的第二天道结果没到说因为赠品没货也没有人联系,1,说好 第二天 道 没到 说 赠品 没货 没有 联系 
指纹解锁有问题录入了完全解不了,1,指纹 解锁 问题 录入 解 
刚买完两周就降了块,1,刚买 完 两周 降 块 
手机不是原包装京东二次包装之前拆过这点京东不讲究,1,手机 原 包装 京东 二次 包装 拆过 这点 京东 讲究 
刚一个月就坏了非人为原因过了三包天包换期就只修不换了,1,一个月 坏 非人 原因 三包 天 包换 期 修不换 
不太好玩游戏会断流有点难受,1,不太好 玩游戏 断流 有点 难受 
手机有点发烫没玩游戏也发烫,1,手机 有点 发烫 没 玩游戏 发烫 
差拍照非常差买错了不值得,1,差 拍照 非常 差买错 值得 
快递垃圾不通知随便放,1,快递 垃圾 通知 随便 放 
手机像素太垃圾手机也太一般了,1,手机 像素 太 垃圾 手机 太 
买手机没有原配耳机差评,1,买手机 没有 原配 耳机 差评 
京东物流现在也太差劲了,1,京东 物流 现在 太 差劲 
太黑了不退我差价商家,1,太黑 退 差价 商家 
看着月号到月号保价才提前下订单的结果今天一看又便宜了一百公司,1,看着 月 号 月 号 保价 提前 订单 一看 便宜 一百 公司 
说保价双十一才拍的事实是欺诈消费者它不直接降价双十一让你用优惠券你申请保价系统显示不在保价范围钻法律的空子欺诈消费者,1,说 保价 双十 一才 拍 事实 欺诈 消费者 直接 降价 双十 一让 优惠券 申请 保价 系统 显示 保价 范围 钻 法律 空子 欺诈 消费者 
这手机太烂了强烈建议不要买刚用两天就死机,1,手机 太烂 强烈建议 买 刚用 两天 死机 
快递太差说的送货上门呢,1,快递 太差 说 送货上门 
这机很卡不是一般的卡比手机都卡真的,1,这机 卡 卡比 手机 都 卡 真的 
刚拍完就降价了太不靠谱了,1,拍 完 降价 太 不靠 谱 
第一次遇见买手机不给带耳机的买之前还有好评赠蓝牙耳机的活动最后有线耳机还要自己买,1,第一次 遇见 买手机 耳机 买 好评 赠 蓝牙 耳机 活动 最后 有线 耳机 还要 买 
客服服务太差劲问它都不理,1,客服 服务 太 差劲 问 都 不理 
京东快递太次不给送货上门,1,京东 快递 太次 送货上门 
垃圾手机买回来天死机次,1,垃圾 手机 买回来 天 死机 次 
本来没发现手机屏幕有条纹直到我打开了王者荣耀打游戏的时候我以为是手机粘到了什么有一条彩色的划痕那样子的东西平常不注意看还没怎么发现但是只要不是白色背景就很明显截图和拍照看不出来我形容一下吧就是家里的电视突然没信号出现的那种条纹不影响功能使用但是影响美观看着就很烦我都在想是不是在实体店卖不出去的次品放网上卖或者二次销售,1,本来 没 发现 手机 屏幕 有条纹 直到 打开 王者 荣耀 打游戏 手机 粘到 一条 彩色 划痕 样子 东西 平常 注意 看 还 没 发现 白色 背景 明显 截图 拍照 看不出来 形容 家里 电视 突然 没 信号 那种 条纹 影响 功能 影响 美观 看着 很烦 都 想 是不是 实体店 卖不出去 次品 放 网上 卖 二次 销售 
